iter	RMSE
0	1.585791254
1	1.516378874
2	1.452649258
3	1.392967723
4	1.33591731
5	1.279952193
6	1.231642892
7	1.181821502
8	1.137108148
9	1.094433817
10	1.052162719
11	1.016444861
12	0.9817756293
13	0.9481653011
14	0.9176391819
15	0.8890819891
16	0.859253172
17	0.8329478543
18	0.8067866756
19	0.7830567049
20	0.7597595443
21	0.7400173125
22	0.7198123736
23	0.701391594
24	0.6828342085
25	0.6669983944
26	0.6513093786
27	0.6355079528
28	0.621721341
29	0.6090088529
30	0.5963974736
31	0.5854063427
32	0.574004339
33	0.563795877
34	0.5544298471
35	0.5452053346
36	0.5361583041
37	0.5271659863
38	0.5191580833
39	0.5116958743
40	0.5047904651
41	0.4983765255
42	0.4926780767
43	0.4867718213
44	0.4814608535
45	0.477063664
46	0.4723616935
47	0.4684665581
48	0.4637954437
49	0.459584809
50	0.4558430454
51	0.4524903276
52	0.4491783475
53	0.4458984256
54	0.4425114937
55	0.4393658107
56	0.4366121171
57	0.4337994417
58	0.4310421005
59	0.4286931266
60	0.4266053715
61	0.4248042571
62	0.4219507137
63	0.4197622535
64	0.4174973439
65	0.4154107193
66	0.4136020405
67	0.4117849623
68	0.4103110899
69	0.408751266
70	0.4074054341
71	0.4061524775
72	0.4045742418
73	0.4030996053
74	0.4017185467
75	0.4005285615
76	0.3991830187
77	0.3979995436
78	0.3961771149
79	0.3947762985
80	0.3937657375
81	0.3928927077
82	0.3902523739
83	0.3894554821
84	0.3883439235
85	0.3869425073
86	0.3859361385
87	0.3851671045
88	0.3845424139
89	0.3833360046
90	0.382233655
91	0.3815559859
92	0.3809730914
93	0.380318002
94	0.3794890358
95	0.3787199262
96	0.3780791939
97	0.3773988735
98	0.3768173484
99	0.3760061411
100	0.375483356
101	0.3749298816
102	0.3743145747
103	0.3736277032
104	0.3730327371
105	0.3720715867
106	0.3709357873
107	0.369125112
108	0.3687500671
109	0.3673571336
110	0.366370289
111	0.3657301961
112	0.3651359746
113	0.3648799449
114	0.3641926593
115	0.3629319525
116	0.3613882598
117	0.3608150857
118	0.360260646
119	0.3598452802
120	0.359297099
121	0.3588903998
122	0.3579644799
123	0.3575992246
124	0.3569836981
125	0.3562073433
126	0.3545516597
127	0.3542290088
128	0.3535279831
129	0.35212905
130	0.3515041733
131	0.3509377051
132	0.3504208872
133	0.3501333606
134	0.3488318019
135	0.3474926188
136	0.3471720378
137	0.3465358533
138	0.3462396219
139	0.3458784621
140	0.3452937954
141	0.3450620958
142	0.3445514544
143	0.3437840711
144	0.342896908
145	0.342495495
146	0.3421482339
147	0.341710181
148	0.3409901904
149	0.340771818
150	0.3398223436
151	0.3395053039
152	0.3385296029
153	0.3379073107
154	0.3376327579
155	0.3371019678
156	0.3367774413
157	0.3356318409
158	0.3348778707
159	0.3345531284
160	0.3339198747
161	0.3326207968
162	0.3316405216
163	0.3313768315
164	0.3308547305
165	0.3295866109
166	0.3289068115
167	0.3280545215
168	0.3277132754
169	0.3266729105
170	0.3253068145
171	0.3244966129
172	0.3239332048
173	0.3232969581
174	0.322631497
175	0.3219695021
176	0.321424714
177	0.32105009
178	0.3203735089
179	0.3194720886
180	0.3191170602
181	0.3176685269
182	0.3164015203
183	0.3157793739
184	0.315160498
185	0.31452655
186	0.3136767939
187	0.3130388644
188	0.3125315381
189	0.3112058844
190	0.3108779484
191	0.3104520017
192	0.3093772953
193	0.3087933586
194	0.3082011174
195	0.3078256324
196	0.3072118068
197	0.3066542129
198	0.3059994008
199	0.3057620905
200	0.3045879584
201	0.3041383547
202	0.3036241914
203	0.3025834278
204	0.3018170206
205	0.3013058684
206	0.3008369271
207	0.3006195325
208	0.3002087913
209	0.2997263583
210	0.2994605587
211	0.2990125964
212	0.2987957885
213	0.2985449054
214	0.2981822426
215	0.2977314924
216	0.2967686545
217	0.2963482312
218	0.2959845136
219	0.2955804871
220	0.2953704066
221	0.2945132015
222	0.2943223637
223	0.2935453639
224	0.2927786919
225	0.2925313148
226	0.2924074941
227	0.2922465071
228	0.2918762005
229	0.2915330679
230	0.2910128629
231	0.2908229013
232	0.290466491
233	0.2901394322
234	0.2899362648
235	0.2891802657
236	0.288845483
237	0.2881455457
238	0.2878363708
239	0.2875531694
240	0.2868312335
241	0.2858574175
242	0.2853552368
243	0.2851498351
244	0.2849760547
245	0.2841007456
246	0.2836632722
247	0.2828615426
248	0.2825293547
249	0.2820524909
250	0.2816548786
251	0.2814006852
252	0.2811229134
253	0.2805414374
254	0.2802931264
255	0.2800281742
256	0.2794845623
257	0.2790796787
258	0.2789186414
259	0.2787673493
260	0.2785341557
261	0.2780074175
262	0.27738534
263	0.2767107218
264	0.2762498389
265	0.2758668227
266	0.2752985738
267	0.274839033
268	0.274166566
269	0.2738300761
270	0.2733917716
271	0.2727829882
272	0.2726295861
273	0.272370808
274	0.2720422647
275	0.2718392015
276	0.271418443
277	0.2711999372
278	0.2709966067
279	0.2706417657
280	0.2703142956
281	0.2700140837
282	0.2697183392
283	0.2694261273
284	0.2692808404
285	0.269042838
286	0.2687531779
287	0.2686184132
288	0.2684368872
289	0.2679627605
290	0.2677615493
291	0.2675101954
292	0.2673179507
293	0.2670609959
294	0.2667680907
295	0.2665050398
296	0.2663828471
297	0.2661448114
298	0.26590596
299	0.2656445022
300	0.265442426
301	0.2651461891
302	0.2649718814
303	0.2648094709
304	0.2646003362
305	0.2642783335
306	0.2640531744
307	0.2638920461
308	0.2637494303
309	0.2633584833
310	0.262890035
311	0.2624769061
312	0.2621021385
313	0.2619153521
314	0.2618349559
315	0.2616502854
316	0.261325345
317	0.2612496094
318	0.2610443916
319	0.2608454396
320	0.2607034421
321	0.2605115338
322	0.2604005249
323	0.2600063235
324	0.2594611754
325	0.2591386441
326	0.2589735839
327	0.2587252281
328	0.2585816174
329	0.2582977156
330	0.2577532629
331	0.257652535
332	0.2575472564
333	0.2572689455
334	0.2571483151
335	0.256968961
336	0.2567923977
337	0.2565232806
338	0.2561577033
339	0.2559898415
340	0.2558037919
341	0.2554910899
342	0.2553158657
343	0.2551361846
344	0.2548071941
345	0.2547003479
346	0.254540419
347	0.2541162394
348	0.2540166945
349	0.2536670659
350	0.2535002682
