iter	Passed	Remaining
0	2	2563
1	4	2231
2	6	2069
3	8	2105
4	10	2119
5	12	2100
6	14	2101
7	16	2041
8	17	1971
9	19	1917
10	21	1914
11	23	1902
12	24	1870
13	26	1844
14	28	1842
15	29	1817
16	30	1791
17	32	1768
18	34	1772
19	35	1752
20	37	1735
21	38	1718
22	40	1717
23	41	1705
24	43	1690
25	44	1675
26	46	1671
27	48	1667
28	49	1657
29	50	1646
30	52	1649
31	54	1651
32	56	1642
33	57	1634
34	59	1627
35	60	1633
36	62	1624
37	63	1616
38	65	1608
39	67	1613
40	68	1612
41	70	1612
42	72	1607
43	74	1608
44	75	1605
45	77	1602
46	79	1602
47	80	1602
48	82	1596
49	83	1590
50	85	1585
51	87	1586
52	88	1581
53	89	1575
54	91	1571
55	93	1573
56	94	1569
57	96	1563
58	97	1558
59	99	1559
60	101	1555
61	102	1550
62	103	1545
63	105	1543
64	107	1541
65	108	1536
66	109	1531
67	111	1527
68	113	1527
69	114	1523
70	116	1519
71	117	1515
72	119	1517
73	121	1514
74	122	1510
75	123	1506
76	125	1506
77	127	1505
78	128	1501
79	130	1497
80	131	1495
81	133	1493
82	134	1489
83	136	1487
84	137	1484
85	139	1484
86	141	1481
87	142	1477
88	144	1474
89	145	1475
90	147	1472
91	148	1469
92	150	1465
93	152	1466
94	153	1463
95	155	1460
96	156	1456
97	158	1456
98	159	1454
99	161	1450
100	162	1447
101	164	1444
102	165	1445
103	167	1442
104	168	1439
105	170	1435
106	171	1435
107	173	1433
108	175	1433
109	176	1430
110	178	1431
111	180	1428
112	181	1425
113	182	1422
114	184	1422
115	186	1419
116	187	1416
117	189	1413
118	190	1413
119	192	1412
120	194	1409
121	195	1406
122	197	1404
123	198	1404
124	200	1403
125	201	1400
126	203	1398
127	205	1399
128	206	1397
129	208	1395
130	210	1396
131	212	1395
132	213	1392
133	215	1389
134	216	1388
135	218	1387
136	219	1385
137	221	1382
138	222	1380
139	224	1380
140	226	1377
141	227	1374
142	228	1371
143	230	1370
144	232	1368
145	233	1365
146	234	1362
147	236	1361
148	238	1359
149	239	1356
150	240	1354
151	242	1351
152	244	1350
153	245	1348
154	246	1345
155	248	1343
156	250	1342
157	251	1340
158	252	1338
159	254	1335
160	255	1333
161	257	1332
162	259	1330
163	260	1327
164	261	1325
165	263	1324
166	265	1322
167	266	1320
168	268	1318
169	269	1317
170	271	1316
171	273	1314
172	274	1312
173	276	1311
174	277	1310
175	279	1307
176	280	1305
177	282	1304
178	284	1303
179	285	1301
180	287	1298
181	288	1298
182	290	1297
183	292	1295
184	293	1293
185	295	1292
186	297	1291
187	298	1289
188	299	1286
189	301	1285
190	303	1284
191	304	1282
192	306	1280
193	307	1278
194	309	1277
195	310	1275
196	312	1273
197	313	1270
198	315	1269
199	316	1267
200	318	1265
201	319	1263
202	321	1262
203	323	1260
204	324	1258
205	326	1256
206	327	1255
207	329	1254
208	331	1252
209	332	1250
210	333	1248
211	335	1247
212	337	1245
213	338	1243
214	339	1241
215	341	1240
216	343	1238
217	344	1236
218	346	1234
219	347	1233
220	349	1232
221	351	1231
222	352	1229
223	354	1228
224	356	1227
225	357	1224
226	358	1222
227	360	1220
228	362	1220
229	363	1218
230	365	1216
231	366	1213
232	368	1212
233	369	1211
234	371	1209
235	372	1207
236	374	1206
237	376	1205
238	377	1203
239	379	1201
240	381	1200
241	382	1198
242	384	1196
243	385	1194
244	386	1192
245	388	1191
246	390	1189
247	391	1187
248	392	1185
249	394	1184
250	396	1182
251	397	1180
252	398	1178
253	400	1176
254	402	1175
255	403	1173
256	405	1171
257	406	1169
258	408	1168
259	409	1166
260	411	1164
261	412	1162
262	414	1161
263	415	1159
264	417	1157
265	418	1155
266	420	1155
267	422	1153
268	423	1151
269	425	1149
270	426	1148
271	428	1146
272	429	1144
273	431	1142
274	432	1140
275	434	1139
276	435	1137
277	437	1135
278	438	1133
279	440	1133
280	442	1131
281	443	1129
282	444	1127
283	446	1126
284	448	1124
285	449	1122
286	451	1120
287	452	1118
288	454	1117
289	455	1116
290	457	1115
291	459	1115
292	461	1114
293	463	1113
294	465	1112
295	467	1112
296	469	1111
297	471	1109
298	473	1109
299	475	1108
300	477	1107
301	479	1107
302	481	1106
303	482	1105
304	485	1105
305	487	1105
306	488	1103
307	490	1102
308	492	1101
309	494	1100
310	496	1099
311	498	1098
312	500	1098
313	502	1096
314	503	1095
315	505	1094
316	507	1093
317	508	1091
318	510	1089
319	512	1088
320	514	1087
321	515	1085
322	517	1084
323	519	1082
324	520	1081
325	522	1079
326	523	1078
327	526	1077
328	527	1076
329	529	1075
330	531	1074
331	533	1072
332	534	1070
333	536	1069
334	538	1068
335	539	1066
336	541	1064
337	542	1063
338	544	1062
339	546	1060
340	547	1058
341	549	1056
342	550	1055
343	552	1053
344	553	1051
345	555	1049
346	556	1047
347	558	1046
348	560	1044
349	561	1042
350	562	1040
351	564	1039
352	566	1037
353	567	1036
354	569	1034
355	571	1033
356	572	1031
357	574	1029
358	575	1027
359	577	1026
360	578	1024
361	580	1022
362	581	1020
363	583	1019
364	584	1017
365	586	1015
366	587	1014
367	589	1012
368	591	1011
369	592	1009
370	594	1007
371	595	1005
372	597	1004
373	599	1002
374	600	1000
375	601	998
376	603	997
377	605	995
378	606	994
379	608	992
380	609	990
381	611	989
382	613	988
383	615	987
384	617	985
385	618	984
386	620	982
387	621	980
388	623	979
389	624	977
390	626	975
391	627	973
392	629	972
393	630	970
394	632	968
395	633	966
396	635	964
397	637	963
398	638	961
399	639	959
400	641	958
401	643	956
402	644	955
403	646	953
404	647	951
405	649	950
406	650	948
407	652	946
408	653	944
409	655	943
410	657	942
411	659	940
412	660	939
413	662	937
414	664	936
415	666	935
416	668	934
417	670	933
418	671	931
419	673	929
420	675	928
421	677	927
422	678	925
423	680	924
424	682	923
425	683	921
426	685	919
427	686	917
428	688	916
429	689	914
430	691	912
431	692	910
432	694	909
433	696	907
434	697	906
435	699	904
436	700	902
437	702	901
438	703	899
439	705	897
440	706	895
441	708	894
442	709	892
443	711	890
444	712	889
445	714	887
446	716	886
447	717	884
448	719	882
449	720	880
450	722	879
451	724	877
452	725	876
453	727	874
454	728	872
455	730	871
456	731	869
457	733	867
458	734	866
459	736	864
460	737	862
461	739	860
462	741	859
463	743	858
464	745	857
465	746	855
466	748	854
467	749	852
468	751	850
469	752	848
470	754	847
471	756	845
472	757	844
473	759	842
474	760	841
475	762	839
476	764	838
477	765	836
478	767	835
479	769	833
480	770	831
481	772	829
482	773	828
483	775	826
484	776	824
485	778	823
486	780	821
487	781	820
488	783	818
489	784	816
490	786	814
491	788	813
492	789	811
493	790	810
494	792	808
495	794	806
496	795	805
497	797	803
498	798	801
499	800	800
500	801	798
501	803	796
502	804	795
503	806	793
504	808	792
505	809	790
506	810	788
507	812	786
508	814	785
509	815	783
510	817	782
511	818	780
512	820	779
513	822	777
514	823	775
515	825	773
516	826	772
517	828	770
518	829	768
519	831	767
520	832	765
521	834	764
522	835	762
523	837	760
524	838	759
525	840	757
526	842	755
527	843	754
528	845	752
529	846	750
530	848	749
531	849	747
532	851	745
533	853	744
534	854	742
535	855	740
536	857	739
537	859	737
538	860	736
539	862	734
540	864	733
541	865	731
542	867	730
543	868	728
544	870	726
545	871	725
546	873	723
547	875	721
548	876	720
549	878	718
550	880	717
551	881	715
552	883	713
553	885	712
554	886	710
555	888	709
556	889	707
557	891	705
558	893	704
559	894	702
560	895	701
561	897	699
562	899	697
563	900	696
564	902	694
565	903	692
566	905	691
567	906	689
568	908	687
569	909	686
570	911	684
571	912	683
572	914	681
573	915	679
574	917	677
575	919	676
576	920	674
577	922	673
578	923	671
579	925	670
580	926	668
581	928	666
582	929	664
583	931	663
584	932	661
585	934	659
586	935	658
587	937	656
588	938	655
589	940	653
590	941	651
591	943	649
592	944	648
593	946	646
594	947	645
595	949	643
596	951	641
597	952	640
598	954	638
599	955	637
600	957	635
601	959	634
602	961	632
603	963	631
604	965	630
605	966	628
606	968	626
607	970	625
608	971	624
609	973	622
610	975	620
611	977	619
612	978	617
613	980	616
614	982	614
615	984	613
616	985	611
617	987	610
618	989	609
619	991	607
620	992	605
621	993	604
622	995	602
623	997	600
624	998	599
625	1000	597
626	1001	595
627	1003	594
628	1004	592
629	1006	591
630	1007	589
631	1009	587
632	1011	586
633	1012	584
634	1013	582
635	1015	581
636	1017	579
637	1018	578
638	1020	576
639	1022	575
640	1024	573
641	1026	572
642	1027	570
643	1029	568
644	1030	567
645	1032	565
646	1033	563
647	1035	562
648	1038	561
649	1040	560
650	1043	559
651	1045	558
652	1047	556
653	1048	554
654	1051	553
655	1053	552
656	1055	551
657	1057	549
658	1059	548
659	1060	546
660	1063	545
661	1064	543
662	1066	541
663	1068	540
664	1069	538
665	1071	537
666	1072	535
667	1074	534
668	1076	532
669	1078	531
670	1079	529
671	1081	528
672	1083	526
673	1085	524
674	1088	523
675	1089	522
676	1091	520
677	1095	520
678	1097	518
679	1098	517
680	1100	515
681	1102	513
682	1103	512
683	1105	510
684	1107	509
685	1108	507
686	1110	505
687	1114	505
688	1116	504
689	1119	503
690	1122	501
691	1124	500
692	1126	499
693	1127	497
694	1129	495
695	1131	494
696	1132	492
697	1134	490
698	1135	489
699	1137	487
700	1138	485
701	1140	484
702	1141	482
703	1143	480
704	1145	479
705	1146	477
706	1148	475
707	1150	474
708	1151	472
709	1153	471
710	1154	469
711	1156	467
712	1158	466
713	1159	464
714	1161	462
715	1162	461
716	1165	459
717	1167	458
718	1168	456
719	1170	455
720	1171	453
721	1173	451
722	1174	450
723	1176	448
724	1177	446
725	1179	445
726	1180	443
727	1182	441
728	1184	440
729	1185	438
730	1187	436
731	1188	435
732	1190	433
733	1191	431
734	1193	430
735	1194	428
736	1196	426
737	1197	425
738	1199	423
739	1200	421
740	1202	420
741	1204	418
742	1205	416
743	1206	415
744	1208	413
745	1210	412
746	1211	410
747	1213	408
748	1214	406
749	1216	405
750	1217	403
751	1219	402
752	1220	400
753	1222	398
754	1224	397
755	1225	395
756	1226	393
757	1228	392
758	1230	390
759	1231	388
760	1232	387
761	1234	385
762	1236	383
763	1237	382
764	1239	380
765	1240	378
766	1241	377
767	1243	375
768	1245	374
769	1246	372
770	1248	370
771	1249	369
772	1251	367
773	1252	365
774	1254	364
775	1255	362
776	1257	360
777	1258	359
778	1260	357
779	1261	355
780	1263	354
781	1264	352
782	1266	350
783	1267	349
784	1269	347
785	1271	346
786	1272	344
787	1273	342
788	1275	341
789	1277	339
790	1278	337
791	1280	336
792	1281	334
793	1283	333
794	1285	331
795	1286	329
796	1288	328
797	1289	326
798	1291	324
799	1292	323
800	1294	321
801	1295	319
802	1297	318
